jmp_hyg_svclvl,jmp_hyg_avail,jmp_hyg_soap,jmp_waste_svclvl,jmp_waste_3bins,jmp_waste_sharps,jmp_waste_inf,jmp_wat_svclvl,jmp_wat_imp,jmp_wat_none,jmp_wat_dist,enum,status,rcode,hcf_mwaterid,hcf_type,reg_san,area_san,area_san_other,cont1_name,cont1_title,cont1_orng,cont1_mtn,cont2_name,cont2_title,cont2_orng,cont2_mtn,survey_date,staff_docs_all,Staffing of the health facility: Doctors - Number of male staff,Staffing of the health facility: Doctors - Number of female staff,Staffing of the health facility: Nurses - Total number of staff,Staffing of the health facility: Nurses - Number of male staff,Staffing of the health facility: Nurses - Number of female staff,Staffing of the health facility: Midwives - Total number of staff,Staffing of the health facility: Midwives - Number of male staff,Staffing of the health facility: Midwives - Number of female staff,Staffing of the health facility: Lab technicians - Total number of staff,Staffing of the health facility: Lab technicians - Number of male staff,Staffing of the health facility: Lab technicians - Number of female staff,Staffing of the health facility: Pharmacists - Total number of staff,Staffing of the health facility: Pharmacists - Number of male staff,Staffing of the health facility: Pharmacists - Number of female staff,Staffing of the health facility: Service staff - Total number of staff,Staffing of the health facility: Service staff - Number of male staff,Staffing of the health facility: Service staff - Number of female staff,Staffing of the health facility: Drivers - Total number of staff,Staffing of the health facility: Drivers - Number of male staff,Staffing of the health facility: Drivers - Number of female staff,Staffing of the health facility: Guards - Total number of staff,Staffing of the health facility: Guards - Number of male staff,Staffing of the health facility: Guards - Number of female staff,wp_mwaterid,wp_jmptype,watsys_exists,watsys_type,watsys_tank_cap,watsys_tank_type,wp_dist,water_available_today,watsys_taps,watsys_taps_total,watsys_taps_func,toilet_outpat,How many toilets are available for patients? ,How many toilets are available for patients?  (Asked),How many patient toilets are working? ,How many patient toilets are working?  (Asked),Are the patient toilets clean?,Are the patient toilets clean? (Asked),Is there a registry of cleaning at the patients toilet?,Is there a registry of cleaning at the patients toilet? (Asked),Are the patient toilets smelling?,Are the patient toilets smelling? (Asked),Are there flies in the patient toilets?,Are there flies in the patient toilets? (Asked),Are the patient toilets lit during the night?,Are the patient toilets lit during the night? (Asked),toilet_staff,How many toilets of any kind are available exclusively for staff? ,How many toilets of any kind are available exclusively for staff?  (Asked),How many staff toilets are working? ,How many staff toilets are working?  (Asked),toilet_mhm,"Is there at least one usable improved toilet designated for women and girls, which provides facilities to manage menstrual hygiene needs? (Asked)",toilet_hcap,Is there at least one usable improved toilet that meets the needs of people with reduced mobility? (Asked),Please take some photos of the latrines,handw_today_poc,handw_today_toilet,How many consultation rooms have a handwashing basin?,How many consultation rooms have a handwashing basin that works?,How many consultation rooms have a handwashing basin that works? (Asked),waste_3bins,waste_sharps,waste_infect,Is there an inicnerator at the center?,Is there an inicnerator at the center? (Other (please specify)) - specify,Please take a photo of the incinerator,Are cleaning protocols available?,Have all staff responsible for cleaning received training? ,Health facility > Unique ID,Community > Unique ID,Hygiene service level for health facility,Functional hand hygiene stations available at the selected point of care ,Handwashing facilities with soap and water available at toilets ,Health facility > Unique ID,Community > Unique ID,Healthcare waste service level for health facility,Is waste safely segregated into at least three labelled bins in the consultation area? ,Sharps waste disposal,How does this facility usually treat / dispose of infectious waste? ,Health facility > Unique ID,Sanitation facility > Unique ID,Community > Unique ID,jmp_san_svclvl,jmp_san_usable,jmp_san_mhm,jmp_san_staff,jmp_san_hcap,jmp_cln_svclvl,jmp_cln_prot,jmp_cln_staff,hcf_name,submitted_date,lat,lon
Basic,Yes,Yes,Limited,,Safe,Safe,Limited,Improved,,Water is available on premises,kingsley.chris,Final,Fredrik Asplund-6T99YZ121,4704085,Health Centre Type C,Biombo,Ondame,,,,966776649,,,,,,2016-03-29,0,,,4,,,0,,,0,,,,,,1,,,,,,0,,,,Tubewell / borehole,"Yes, but it does not work",Solar pump from own waterpoint,3.75,Metal,On premises,No ,"No, the tap inside does not give water",4,,"No, unimproved or no toilets at the facility",,False,,False,,False,,False,,False,,False,,False,Yes,1,True,1,True,,False,,False,,Yes,Yes,1,0,True,Bins are present but don't meet all requirements,Incinerated (brick incinerator),Incinerated (brick incinerator),"Yes, in use",,,No,,4704085,,Basic,Yes,Yes,4704085,,Limited,,Safe,Safe,4704085,,,No service,No,,Yes,,,No,,Ondame,2018-08-03 14:27:42,11.77647,-15.92884
Basic,Yes,Yes,Limited,,Safe,Safe,Limited,Improved,,Water is available on premises,kingsley.chris,Final,Fredrik Asplund-6T99YZ124,4704133,Health Centre Type C,Biombo,Prabis,,,,955596427,,,,,,2016-03-29,0,,,5,,,2,,,0,,,,,,1,,,,,,0,,,6391621,Tubewell / borehole,"Yes, but it does not work",Solar pump from own waterpoint,4,Metal,On premises,No ,"No, the tap inside does not give water",7,,"No, unimproved or no toilets at the facility",,False,,False,,False,,False,,False,,False,,False,Yes,1,True,1,True,,False,,False,,Yes,Yes,1,0,True,Bins are present but don't meet all requirements,Incinerated (brick incinerator),Incinerated (brick incinerator),"Yes, in use",,,No,,4704133,,Basic,Yes,Yes,4704133,,Limited,,Safe,Safe,4704133,,,No service,No,,Yes,,,No,,Prabis,2018-08-03 14:27:42,11.80381,-15.73641
No service,No,No,No service,No,Unsafe,Unsafe,Limited,Improved,,Water is available on premises,kingsley.chris,Final,Fredrik Asplund-6T99YZ107,4704384,Health Centre Type C,Quinara,Fulacunda,,,,966657836,,,,,,2016-03-29,0,,,0,,,0,,,0,,,,,,0,,,,,,0,,,6393142,Tubewell / borehole,No,,,,On premises,No ,No taps inside,,,"No, improved toilets are present but not usable",2,True,0,True,,True,,True,,True,,True,,True,No,,False,,False,"No, there are no female-only toilets",True,No,True,,"No, hand hygiene stations are available but not functional, or lacking materials","No, handwashing facilities are available but not functional, or lacking soap and/or water",2,2,True,No,Open burning,Open burning,No,,,No,,4704384,,No service,No,No,4704384,,No service,No,Unsafe,Unsafe,4704384,,,Limited,No,No,No,No,,No,,Gan Para,2018-08-03 14:27:42,11.92793,-15.04806
,,,,,,,,Improved,,,kingsley.chris,Final,Fredrik Asplund-6T99YZ083,4703493,Health Centre Type A,Bijagos,Bubaque,,,,955327815,,,,,,2016-03-29,1,,,20,,,1,,,3,,,,,,6,,,,,,2,,,,Tubewell / borehole,"Yes, and it works",Solar pump from own waterpoint,4,,,"Yes, observed","Yes, water comes from at least one tap",3,1,"No, improved toilets are present but not usable",4,True,0,True,,True,,True,,True,,True,,True,No,,False,,False,,True,,True,,,,0,,False,,,,No,,,No,,4703493,,,,,4703493,,,,,,4703493,,,Limited,No,,No,,,No,,Bubaque,2018-08-03 14:27:42,11.3042259208324,-15.8374968554524
Basic,Yes,Yes,Limited,,Unsafe,Unsafe,Basic,Improved,,Water is available on premises,kingsley.chris,Final,Fredrik Asplund-6T99YZ110,4682512,Health Centre Type B,Farim,Farim,,,,966942523,,,,,,2016-03-29,3,,,10,,,4,,,3,,,,,,4,,,,,,1,,,,Tubewell / borehole,"Yes, and it works",Solar pump from own waterpoint,10,PVC,On premises,"Yes, observed","Yes, water comes from at least one tap",28,24,"Yes, at least one usable improved toilet",2,True,2,True,Yes,True,No,True,No,True,No,True,Yes,True,Yes,2,True,2,True,"No, female-only toilets do not have menstrual hygiene facilities",True,Yes,True,,Yes,Yes,1,1,True,Bins are present but don't meet all requirements,Open burning,Open burning,"Yes, in use",,,No,,4682512,,Basic,Yes,Yes,4682512,,Limited,,Unsafe,Unsafe,4682512,,,Limited,Yes,No,Yes,Yes,,No,,Hospital de Farim ,2018-08-03 14:27:42,12.4808073,-15.2185583
Limited,,Yes,,,,,,Improved,,,kingsley.chris,Final,Fredrik Asplund-6T99YZ084,4703503,Health Centre Type C,Cacheu,Bula,,,,955596711,955519962,,,,,2016-03-29,1,,,7,,,1,,,1,,,,,,2,,,,,,0,,,6376220,Tubewell / borehole,"Yes, and it works",Solar pump from own waterpoint,10,Cement,,"Yes, observed","Yes, water comes from at least one tap",6,3,"No, unimproved or no toilets at the facility",,False,,False,,False,,False,,False,,False,,False,Yes,1,True,1,True,,False,,False,,,Yes,0,,False,,,,"Yes, in use",,https://api.mwater.co/v3/images/cd542c5334a34e99a165206b24e2160a; https://api.mwater.co/v3/images/6fa098ceb4704b2cbc1dab49a2684233,No,,4703503,,Limited,,Yes,4703503,,,,,,4703503,,,No service,No,,Yes,,,No,,Bula,2018-08-03 14:27:42,12.10287,-15.70899
No service,No,No,Limited,,Unsafe,Unsafe,Limited,Improved,,Water is available on premises,kingsley.chris,Final,Fredrik Asplund-6T99YZ129,4704236,Health Centre Type C,Cacheu,Sedengal,,,,966666016,,,,,,2016-03-29,0,,,3,,,0,,,0,,,,,,1,,,,,,0,,,6360629,Tubewell / borehole,"Yes, but it does not work",Directly from grid,3.75,Metal,On premises,No ,"No, the tap inside does not give water",5,,"Yes, at least one usable improved toilet",1,True,1,True,Yes,True,No,True,No,True,No,True,No,True,No,,False,,False,"No, female-only toilets do not have menstrual hygiene facilities",True,No,True,,"No, hand hygiene stations are available but not functional, or lacking materials","No, no handwashing facilities are available",0,,False,Bins are present but don't meet all requirements,Open burning,Open burning,No,,,No,,4704236,,No service,No,No,4704236,,Limited,,Unsafe,Unsafe,4704236,,,Limited,Yes,No,No,No,,No,,Sedengal,2018-08-03 14:27:42,12.39613,-15.92191
Limited,,Yes,,,,,,Improved,,,kingsley.chris,Final,Fredrik Asplund-6T99YZ108,4703905,Health Centre Type B,Cacheu,Ingore,,,,966628807,966961829,,,,,2016-03-29,2,,,5,,,2,,,2,,,,,,4,,,,,,1,,,,Tubewell / borehole,"Yes, and it works",Solar pump from own waterpoint,4,PVC,,"Yes, observed","Yes, water comes from at least one tap",32,14,"Yes, at least one usable improved toilet",2,True,6,True,Yes,True,No,True,No,True,No,True,Yes,True,Yes,2,True,2,True,,True,,True,https://api.mwater.co/v3/images/6ff685cc291a4ae1a963a05e928e4e30,,Yes,1,1,True,,,,"Yes, but not working",,https://api.mwater.co/v3/images/ca9ab89e12714befb80ba9f24eca31af,No,,4703905,,Limited,,Yes,4703905,,,,,,4703905,,,,Yes,,Yes,,,No,,Ingore,2018-08-03 14:27:42,12.41007,-15.79951
,,,,,,,,Improved,,,kingsley.chris,Final,Fredrik Asplund-6T99YZ074,4703462,Health Centre Type A,Bolama,Bolama,,,,,,,,,,2016-03-29,0,,,0,,,0,,,0,,,,,,0,,,,,,0,,,,Piped water inside Health Center,"Yes, and it works",Directly from grid,,,,"Yes, observed",,,,"No, unimproved or no toilets at the facility",,False,,False,,False,,False,,False,,False,,False,,,False,,False,,False,,False,https://api.mwater.co/v3/images/420ecfd7543d4e9b8d8c4f5cf4f80604; https://api.mwater.co/v3/images/c71958169d8a4b4198622b0d27aa34c0,,,0,,False,,,,No,,,No,,4703462,,,,,4703462,,,,,,4703462,,,No service,No,,,,,No,,Bolama,2018-08-03 14:27:42,11.5752706,-15.4754583
Limited,,Yes,,,,,,Improved,,,kingsley.chris,Final,Fredrik Asplund-6T99YZ011,4703754,Health Centre Type C,Oio,Encheia,,,,969164237,,,,,,2016-03-29,0,,,3,,,0,,,0,,,,,,1,,,,,,0,,,,Tubewell / borehole,"Yes, but it does not work",Solar pump from own waterpoint,5,PVC,,No ,"No, the tap inside does not give water",7,,"No, unimproved or no toilets at the facility",,False,,False,,False,,False,,False,,False,,False,Yes,1,True,1,True,,False,,False,https://api.mwater.co/v3/images/210ff3593fc045eeb948876d9df7873e,,Yes,0,,False,,,,"Yes, in use",,https://api.mwater.co/v3/images/3d27680c3aa143469add7744affd78ed; https://api.mwater.co/v3/images/f156ffbc175a41c5848f92e87b47bdf5,No,,4703754,,Limited,,Yes,4703754,,,,,,4703754,,,No service,No,,Yes,,,No,,Encheia,2018-08-03 14:27:42,12.06063,-15.46958
Limited,,Yes,,,,,Limited,Improved,,Within 500m,kingsley.chris,Final,Fredrik Asplund-6T99YZ042,435967,Health Centre Type C,Bijagos,Unhocomo,,,,966122023,,,,,,2016-03-29,0,,,2,,,0,,,0,,,,,,1,,,,,,0,,,,Protected dug well,No,,,,Within 500 m,No ,No taps inside,,,"No, improved toilets are present but not usable",1,True,0,True,Yes,True,,True,No,True,No,True,No,True,No,,False,,False,,True,,True,https://api.mwater.co/v3/images/e9d07a59385040738fe1def96fc0139f; https://api.mwater.co/v3/images/752458c6293d4ba0beda235a4457233f,,Yes,2,0,True,,,,No,,https://api.mwater.co/v3/images/6239aa43d81b43a3a4e91c38a96fdade,No,,435967,,Limited,,Yes,435967,,,,,,435967,,,Limited,No,,No,,,No,,Unhocomo,2018-08-03 14:27:42,11.29363,-16.4478
,,No,,,,,,Improved,,,kingsley.chris,Final,Fredrik Asplund-6T99YZ037,436061,Health Centre Type C,Gabu,Canquelifa,,,,955208470,,,,,,2016-03-29,0,,,2,,,0,,,0,,,,,,1,,,,,,0,,,,Tubewell / borehole,"Yes, but it does not work",Solar pump from own waterpoint,5,PEAD,,No ,"No, the tap inside does not give water",6,,"No, unimproved or no toilets at the facility",,False,,False,,False,,False,,False,,False,,False,Yes,1,True,1,True,,False,,False,,,"No, no handwashing facilities are available",1,0,True,,,,"Yes, but not working",,https://api.mwater.co/v3/images/869d9b60507641d19afee1ef3e1fa363; https://api.mwater.co/v3/images/62247d35e05c425b949dbc116740b1c1; https://api.mwater.co/v3/images/8f8e823d77e94cb79d914f6a2317b2a8,No,,436061,,,,No,436061,,,,,,436061,,,No service,No,,Yes,,,No,,Canquelifa,2018-08-03 14:27:42,12.57704,-13.84645
Limited,,Yes,,,,,,Improved,,,kingsley.chris,Final,Fredrik Asplund-6T99YZ031,4704281,Health Centre Type C,Tombali,Calaque,,,,966630398,955316355,,,,,2016-03-29,0,,,1,,,0,,,0,,,,,,1,,,,,,0,,,,Tubewell / borehole,"Yes, and it works",Solar pump from own waterpoint,4,PEAD,,"Yes, observed","Yes, water comes from at least one tap",5,1,"Yes, at least one usable improved toilet",4,True,4,True,Yes,True,Yes,True,Yes,True,No,True,No,True,No,,False,,False,,True,,True,https://api.mwater.co/v3/images/84f9442fa33646c8910680bb691c9d98; https://api.mwater.co/v3/images/b9a7014811334c718b047c084b756058,,Yes,1,1,True,,,,No,,,No,,4704281,,Limited,,Yes,4704281,,,,,,4704281,,,Limited,Yes,,No,,,No,,Cabedu,2018-08-03 14:27:42,11.12143,-15.15344
Basic,Yes,Yes,Limited,,Unsafe,Unsafe,Basic,Improved,,Water is available on premises,kingsley.chris,Final,Fredrik Asplund-6T99YZ135,4704308,Health Centre Type C,Gabu,Tumana,,,,966938260,,,,,,2016-03-29,0,,,2,,,0,,,0,,,,,,1,,,,,,1,,,,Tubewell / borehole,"Yes, and it works",Solar pump from own waterpoint,6,PVC,On premises,"Yes, observed","Yes, water comes from at least one tap",14,7,"Yes, at least one usable improved toilet",2,True,2,True,Yes,True,No,True,No,True,No,True,Yes,True,Yes,1,True,1,True,"No, female-only toilets do not have menstrual hygiene facilities",True,No,True,,Yes,Yes,1,1,True,Bins are present but don't meet all requirements,Open burning,Open burning,No,,,No,,4704308,,Basic,Yes,Yes,4704308,,Limited,,Unsafe,Unsafe,4704308,,,Limited,Yes,No,Yes,No,,No,,Tumana,2018-08-03 14:27:42,12.2797922708548,-14.2186045646668
Basic,Yes,Yes,Limited,,Unsafe,Unsafe,Basic,Improved,,Water is available on premises,kingsley.chris,Final,Fredrik Asplund-6T99YZ099,4704360,Maternal/Child Health Clinic,Gabu,Gabu,,,,955935097,,,,,,2016-03-29,2,,,6,,,0,,,2,,,,,,3,,,,,,1,,,,Tubewell / borehole,"Yes, and it works",Solar pump from own waterpoint,5,PEAD,On premises,"Yes, observed","Yes, water comes from at least one tap",7,7,"Yes, at least one usable improved toilet",3,True,3,True,Yes,True,No,True,No,True,No,True,No,True,Yes,1,True,1,True,"No, female-only toilets do not have menstrual hygiene facilities",True,Yes,True,,Yes,Yes,1,1,True,Bins are present but don't meet all requirements,Open burning,Open burning,No,,,No,,4704360,,Basic,Yes,Yes,4704360,,Limited,,Unsafe,Unsafe,4704360,,,Limited,Yes,No,Yes,Yes,,No,,CMI Gabu,2018-08-03 14:27:42,12.279104,-14.218189
,,,,,,,,Improved,,,kingsley.chris,Final,Fredrik Asplund-6T99YZ008,4703338,Health Centre Type C,Oio,Binar,,,,,955462515,,,,,2016-03-29,0,,,2,,,1,,,0,,,,,,1,,,,,,0,,,6376457,Tubewell / borehole,"Yes, but it does not work",Solar pump from own waterpoint,5,PVC,,No ,"No, the tap inside does not give water",6,,"No, unimproved or no toilets at the facility",,False,,False,,False,,False,,False,,False,,False,No,,False,,False,,False,,False,,,,0,,False,,,,No,,https://api.mwater.co/v3/images/86892bc9d17d4200b7f3d5572c4c944b,No,,4703338,,,,,4703338,,,,,,4703338,,,No service,No,,No,,,No,,Binar,2018-08-03 14:27:42,12.09359,-15.62485
,,No,,,,,,Improved,,,kingsley.chris,Final,Fredrik Asplund-6T99YZ033,4703833,Health Centre Type C,Quinara,Buba,,,,966089528,,,,,,2016-03-29,0,,,3,,,0,,,0,,,,,,1,,,,,,0,,,6402433,Tubewell / borehole,"Yes, but it does not work",Hand pump to tank from own waterpoint ,1,PVC,,No ,"No, the tap inside does not give water",18,,"Yes, at least one usable improved toilet",2,True,2,True,Yes,True,No,True,No,True,No,True,No,True,No,,False,,False,,True,,True,https://api.mwater.co/v3/images/800ef0d05fcb42f291e79e0cb37b3b41; https://api.mwater.co/v3/images/0698c4955d2e4c41beba3e7819210d03,,"No, no handwashing facilities are available",0,,False,,,,"Yes, but not working",,https://api.mwater.co/v3/images/4c4df4c6554d41a6a56d48ba45bc5502,No,,4703833,,,,No,4703833,,,,,,4703833,,,Limited,Yes,,No,,,No,,Banta,2018-08-03 14:27:42,11.44224,-15.03885
Basic,Yes,Yes,Limited,,Unsafe,Unsafe,Basic,Improved,,Water is available on premises,kingsley.chris,Final,Fredrik Asplund-6T99YZ117,4704157,Health Centre Type C,SAB,Quelele,,,,955317227,,,,,,2016-03-29,1,,,12,,,3,,,3,,,,,,2,,,,,,1,,,,Piped water inside Health Center,"Yes, and it works",Grid to overhead water tank,1,,On premises,"Yes, observed","Yes, water comes from at least one tap",4,1,"No, improved toilets are present but not usable",1,True,1,True,Yes,True,,True,Yes,True,Yes,True,No,True,Yes,1,True,1,True,"No, there are no female-only toilets",True,No,True,,Yes,Yes,2,2,True,Bins are present but don't meet all requirements,Open burning,Open burning,No,,,No,,4704157,,Basic,Yes,Yes,4704157,,Limited,,Unsafe,Unsafe,4704157,,,Limited,No,No,Yes,No,,No,,Quelele,2018-08-03 14:27:42,11.85511,-15.62766
Limited,,Yes,,,,,,Improved,,,kingsley.chris,Final,Fredrik Asplund-6T99YZ028,4703644,Health Centre Type C,Tombali,Komo,,,,965741524,955741524,,,,,2016-03-29,0,,,2,,,0,,,0,,,,,,1,,,,,,2,,,,Tubewell / borehole,"Yes, and it works",Hand pump to tank from own waterpoint ,4,PEAD,,"Yes, observed","Yes, water comes from at least one tap",8,,"Yes, at least one usable improved toilet",1,True,1,True,Yes,True,No,True,No,True,No,True,No,True,No,,False,,False,,True,,True,https://api.mwater.co/v3/images/da556292c6ad4c708d52e8cde67e77b2; https://api.mwater.co/v3/images/6f98bb4e75d943a69997f98bbe0a20f7,,Yes,1,1,True,,,,"Yes, but not working",,https://api.mwater.co/v3/images/874b2ead374041e9b55a6188710b7a25,No,,4703644,,Limited,,Yes,4703644,,,,,,4703644,,,Limited,Yes,,No,,,No,,Cassaca,2018-08-03 14:27:42,11.2075,-15.3228
Basic,Yes,Yes,Limited,,Unsafe,Unsafe,Basic,Improved,,Water is available on premises,kingsley.chris,Final,Fredrik Asplund-6T99YZ118,4704061,Health Centre Type C,Oio,Nhacra,,,,966072807,,,,,,2016-03-29,1,,,5,,,1,,,0,,,,,,1,,,,,,0,,,,Tubewell / borehole,"Yes, and it works",Solar pump from own waterpoint,5,PVC,On premises,"Yes, observed","Yes, water comes from at least one tap",14,4,"No, unimproved or no toilets at the facility",,False,,False,,False,,False,,False,,False,,False,Yes,1,True,1,True,,False,,False,,Yes,Yes,1,1,True,Bins are present but don't meet all requirements,Open burning,Open burning,"Yes, but not working",,,No,,4704061,,Basic,Yes,Yes,4704061,,Limited,,Unsafe,Unsafe,4704061,,,No service,No,,Yes,,,No,,Nhacra,2018-08-03 14:27:42,11.95882,-15.53794
Basic,Yes,Yes,Limited,,Safe,Safe,Basic,Improved,,Water is available on premises,kingsley.chris,Final,Fredrik Asplund-6T99YZ127,4704164,Health Centre Type B,Biombo,Quinhamel,,,,966648533,,,,,,2016-03-29,2,,,18,,,3,,,1,,,,,,3,,,,,,1,,,6387053,Piped water inside Health Center,"Yes, and it works",Solar pump from own waterpoint,5,Cement,On premises,"Yes, observed","Yes, water comes from at least one tap",50,35,"Yes, at least one usable improved toilet",3,True,3,True,Yes,True,No,True,No,True,No,True,Yes,True,Yes,2,True,2,True,Yes,True,Yes,True,https://api.mwater.co/v3/images/72ac98d64590407f94df725a77161732; https://api.mwater.co/v3/images/88cae5f9cd294b3fa9c3155d7719bb76; https://api.mwater.co/v3/images/a7ecb179065642a59ffe55ee0a795cf1; https://api.mwater.co/v3/images/c9e42132be6841e491dafc0bfb5871ad; https://api.mwater.co/v3/images/b297747f84c94cad8f54d12991ed41c3,Yes,Yes,1,1,True,Bins are present but don't meet all requirements,Incinerated (brick incinerator),Incinerated (brick incinerator),"Yes, in use",,https://api.mwater.co/v3/images/0d5fb313732c43aebd4291d9a35b13ce,No,,4704164,,Basic,Yes,Yes,4704164,,Limited,,Safe,Safe,4704164,,,Basic,Yes,Yes,Yes,Yes,,No,,Quinhamel,2018-08-03 14:27:42,11.88837,-15.85629
No service,No,No,Limited,,Unsafe,Unsafe,No service,Improved,True,,kingsley.chris,Final,Fredrik Asplund-6T99YZ111,4704391,Health Centre Type C,Quinara,Buba,,,,,,,,,,2016-03-29,0,,,0,,,0,,,0,,,,,,0,,,,,,0,,,6394356,Protected dug well,No,,,,No water source available,No ,No taps inside,,,"No, unimproved or no toilets at the facility",,False,,False,,False,,False,,False,,False,,False,No,,False,,False,,False,,False,,"No, hand hygiene stations are available but not functional, or lacking materials","No, handwashing facilities are available but not functional, or lacking soap and/or water",0,,False,Bins are present but don't meet all requirements,Open burning,Open burning,No,,,No,,4704391,,No service,No,No,4704391,,Limited,,Unsafe,Unsafe,4704391,,,No service,No,,No,,,No,,Gan Gregorio,2018-08-03 14:27:42,11.754764,-14.917304
Limited,,Yes,,,,,,Improved,,,kingsley.chris,Final,Fredrik Asplund-6T99YZ009,4704126,Health Centre Type C,Oio,Portugol,,,,966930129,,,,,,2016-03-29,0,,,2,,,0,,,0,,,,,,1,,,,,,0,,,6393001,Tubewell / borehole,"Yes, but it does not work",Solar pump from own waterpoint,5,PEAD,,No ,"No, the tap inside does not give water",12,,"No, unimproved or no toilets at the facility",,False,,False,,False,,False,,False,,False,,False,Yes,1,True,1,True,,False,,False,https://api.mwater.co/v3/images/9ce8f464dad74dc088ea07fe9614ad70,,Yes,1,0,True,,,,No,,,No,,4704126,,Limited,,Yes,4704126,,,,,,4704126,,,No service,No,,Yes,,,No,,Portugol,2018-08-03 14:27:42,11.96095,-15.12939
Limited,,Yes,,,,,,Improved,,,kingsley.chris,Final,Fredrik Asplund-6T99YZ044,435950,Health Centre Type C,Bijagos,Soga,,,,966616858,,,,,,2016-03-29,0,,,2,,,0,,,0,,,,,,1,,,,,,0,,,,Protected dug well,"Yes, but it does not work",Electrical pump (Grid/generator) from own waterpoint,1,Cement,,No ,"No, the tap inside does not give water",4,,"Yes, at least one usable improved toilet",1,True,1,True,Yes,True,No,True,No,True,No,True,No,True,Yes,1,True,1,True,,True,,True,,,Yes,0,,False,,,,No,,https://api.mwater.co/v3/images/721bf9db88fa41aea35823108f8ba682; https://api.mwater.co/v3/images/438806b8176a4a8ba0ee3a7ac8904f4c,No,,435950,,Limited,,Yes,435950,,,,,,435950,,,,Yes,,Yes,,,No,,Soga,2018-08-03 14:27:42,11.35635,-15.85025
,,No,,,,,,Improved,,,kingsley.chris,Final,Fredrik Asplund-6T99YZ007,436164,Health Centre Type C,Cacheu,Pecixe ,,,,966761703,955383836,,,,,2016-03-29,0,,,3,,,0,,,0,,,,,,1,,,,,,0,,,9202320,Protected dug well,No,,,,,No ,No taps inside,,,"Yes, at least one usable improved toilet",2,True,1,True,No,True,No,True,Yes,True,Yes,True,No,True,No,,False,,False,,True,,True,https://api.mwater.co/v3/images/42c3c6edb9144b6fa639dccbcf91809d; https://api.mwater.co/v3/images/2573f6a7c4294586ac1035b969175650; https://api.mwater.co/v3/images/1926d79f5ce746759a643323da2e8172; https://api.mwater.co/v3/images/b1936f2a53c749fe9aaec8b4e334de80; https://api.mwater.co/v3/images/0c09e86937d44691b1bb58d07914abc6; https://api.mwater.co/v3/images/bfb6974a69194a0a90f89169bbe0b368; https://api.mwater.co/v3/images/9bea4e2a2de8458387a2f4f463602277; https://api.mwater.co/v3/images/cfb087e2408c4479948ba2eadb44ce05; https://api.mwater.co/v3/images/7bfb54f3a6494bad993b37d13ec3e917; https://api.mwater.co/v3/images/b797d8ada7634826886c312fab6cb616,,"No, no handwashing facilities are available",2,2,True,,,,"Yes, but not working",,https://api.mwater.co/v3/images/b3bb49a8c2844cfeb360c1a16e8b7034,No,,436164,,,,No,436164,,,,,,436164,,,Limited,Yes,,No,,,No,,Pecixe,2018-08-03 14:27:42,11.76784,-16.05755
Limited,,Yes,,,,,,Improved,,,kingsley.chris,Final,Fredrik Asplund-6T99YZ048,436023,Health Centre Type C,Bijagos,Orango Grande,,,,966620632,,,,,,2016-03-29,0,,,3,,,0,,,0,,,,,,1,,,,,,0,,,,Protected dug well,"Yes, but it does not work",Solar pump from own waterpoint,3,PEAD,,No ,"No, the tap inside does not give water",9,,"No, unimproved or no toilets at the facility",,False,,False,,False,,False,,False,,False,,False,Yes,1,True,1,True,,False,,False,https://api.mwater.co/v3/images/1140863f637f4fa99fcd08c747dc6311; https://api.mwater.co/v3/images/c17c8be666b04a61987266738af5b545; https://api.mwater.co/v3/images/95426358d61d41caa34625299242138e,,Yes,3,0,True,,,,"Yes, but not working",,https://api.mwater.co/v3/images/d1ebd442b9bc433e81a55a8f5d1d7fd2; https://api.mwater.co/v3/images/51887365568541a69184539d8a31369a,No,,436023,,Limited,,Yes,436023,,,,,,436023,,,No service,No,,Yes,,,No,,Orango Grande,2018-08-03 14:27:42,11.15963,-16.14266
Limited,,Yes,,,,,,Improved,,,kingsley.chris,Final,Fredrik Asplund-6T99YZ061,436078,Health Centre Type C,Gabu,Cansisse,,,,955162739,,,,,,2016-03-29,0,,,3,,,0,,,0,,,,,,1,,,,,,0,,,6384854,Tubewell / borehole,"Yes, but it does not work",Solar pump from own waterpoint,5,PEAD,,No ,"No, the tap inside does not give water",0,,"No, unimproved or no toilets at the facility",,False,,False,,False,,False,,False,,False,,False,Yes,1,True,1,True,,False,,False,,,Yes,0,,False,,,,"Yes, but not working",,https://api.mwater.co/v3/images/1aa19a2728c14afb81cde0d7bc2d489a,No,,436078,,Limited,,Yes,436078,,,,,,436078,,,No service,No,,Yes,,,No,,Cansisse,2018-08-03 14:27:42,12.18581,-14.35995
